date,sales,
11/08/2017,262,120
11/08/2017,732,110
06/12/2017,15,100
10/11/2016,958,
10/11/2016,23,
06/09/2015,49,
06/09/2015,8,
06/09/2015,908,
06/09/2015,19,
06/09/2015,115,
06/09/2015,1707,
06/09/2015,912,
04/15/2018,16,
12/05/2017,408,
11/22/2016,69,
11/22/2016,3,
11/11/2015,666,
05/13/2015,56,
08/27/2015,9,
08/27/2015,214,
08/27/2015,23,
12/09/2017,20,
12/09/2017,61,
07/16/2018,72,
09/25/2016,1045,
01/16/2017,12,
01/16/2017,91,
09/17/2016,3084,
09/17/2016,10,
09/17/2016,125,
09/17/2016,4,
09/17/2016,87,
09/17/2016,7,
09/17/2016,16,
10/19/2018,30,
12/08/2017,1098,
12/08/2017,191,
12/27/2016,114,
12/27/2016,533,
12/27/2016,213,
12/27/2016,372,
09/10/2018,148,
07/17/2017,78,
09/19/2018,96,
03/11/2017,46,
03/11/2017,18,
10/20/2015,212,
06/20/2017,45,
06/20/2017,22,
04/18/2016,39,
04/18/2016,76,
04/18/2016,7,
04/18/2016,90,
12/11/2017,16,
12/11/2017,1030,
06/17/2017,209,
06/17/2017,33,
06/17/2017,320,
06/17/2017,15,
06/17/2017,30,
06/17/2017,49,
06/17/2017,2,
11/24/2016,14,
11/24/2016,26,
11/24/2016,147,
11/24/2016,80,
04/30/2016,214,
12/05/2015,1114,
12/05/2015,168,
06/04/2017,76,
09/18/2017,5,
09/14/2018,20,
04/26/2016,832,
04/26/2016,98,
04/26/2016,73,
12/09/2018,2,
12/09/2018,10,
12/09/2018,28,
11/26/2015,20,
06/12/2017,209,
06/12/2017,17,
10/12/2015,15,
10/12/2015,22,
09/03/2016,201,
11/13/2018,231,
05/28/2018,302,
10/26/2018,20,
10/26/2018,7,
04/05/2017,159,
09/17/2017,21,
09/17/2017,74,
09/17/2017,7,
01/31/2016,13,
01/31/2016,54,
01/31/2016,33,
11/06/2018,6,
11/09/2018,97,
06/17/2018,52,
09/06/2017,78,
08/29/2017,65,
08/29/2017,96,
08/29/2017,2,
12/01/2017,24,
11/13/2016,239,
11/13/2016,103,
11/13/2016,37,
11/23/2018,75,
11/23/2018,28,
11/23/2018,4,
10/15/2016,340,
